Symbol
ABFRL
ACCURACY
ADROITINFO
AEROENTER
AFIL
AJOONI
AKSHAR
AKSHOPTFBR
ALANKIT
ALLCARGO
ALOKINDS
ANDHRSUGAR
ARIHANTCAP
ASHOKAMET
ATL
ATLANTAA
AVONMORE
AXITA
BAGFILMS
BAIDFIN
BAJAJHIND
BALAXI
BCG
BCLIND
BHANDARI
BLBLIMITED
BLKASHYAP
BLUSPRING
BODALCHEM
BRIGHOTEL
CENTRALBK
CIFL
COFFEEDAY
CONFIPET
DAVANGERE
DBOL
DCW
DELTACORP
DEN
DHANBANK
DHANI
DIGISPICE
DIL
DISHTV
DNAMEDIA
DOLATALGO
DPSCLTD
DUCON
DWARKESH
EASEMYTRIP
EDELWEISS
EMBDL
EQUITASBNK
ESAFSFB
ESSENTIA
FCSSOFT
FILATEX
FILATFASH
GANESHBE
GANGAFORGE
GATEWAY
GEOJITFSL
GLOBE
GLOBECIVIL
GMRAIRPORT
GREENPOWER
GTL
GTLINFRA
GVPTECH
HARDWYN
HATHWAY
HFCL
HITECH
HLVLTD
HMAAGRO
IDBI
IDEA
IDFCFIRSTB
IFCI
IMAGICAA
INFIBEAM
INVENTURE
IOB
IOLCP
IRB
IVC
JAMNAAUTO
JAYBARMARU
JAYNECOIND
JINDWORLD
JISLJALEQS
JPPOWER
JTLIND
JYOTISTRUC
KAMDHENU
KAMOPAINTS
KANANIIND
KELLTONTEC
KMSUGAR
KOHINOOR
KRITIKA
LANCORHOL
LLOYDSENGG
LLOYDSENT
MADRASFERT
MAHABANK
MANALIPETC
MCLEODRUSS
MCLOUD
MGEL
MICEL
MIRCELECTR
MIRZAINT
MITTAL
MMTC
MOKSH
MOL
MOREPENLAB
MOTHERSON
MOTISONS
MSPL
MSUMI
MTNL
MUFIN
MUKKA
NAGAFERT
NARMADA
NDL
NETWORK18
NFL
NHPC
NILAINFRA
NILASPACES
NIVABUPA
NMDC
NOVAAGRI
NSLNISP
OLAELEC
ONMOBILE
ORICONENT
ORIENTPPR
OSWALAGRO
OSWALGREEN
PAISALO
PARACABLES
PARASPETRO
PATELENG
PATINTLOG
PCJEWELLER
PEARLPOLY
PENINLAND
PFS
PREMIERPOL
PROZONER
PRUDMOULI
PSB
RADHIKAJWE
RADIANTCMS
RAJMET
RAMASTEEL
RBA
RENUKA
ROTO
RTNINDIA
RTNPOWER
RUSHIL
SADBHIN
SAGILITY
SAKUMA
SALASAR
SANGHIIND
SANSTAR
SARVESHWAR
SBC
SCILAL
SEPC
SHREERAMA
SHRENIK
SHRIRAMPPS
SIGACHI
SINDHUTRAD
SJVN
SOUTHBANK
SPIC
SRD
STEELXIND
SUNDARAM
SURANAT&P
SUZLON
SVPGLOB
TARACHAND
TEXINFRA
TGBHOTELS
TRACXN
TREL
TRIDENT
UCOBANK
UDAICEMENT
UFO
UGARSUGAR
UJJIVANSFB
URJA
UTKARSHBNK
VAISHALI
VARDMNPOLY
VASCONEQ
VERTOZ
VIKASECO
VIKASLIFE
VINNY
VIPCLOTHNG
VIPULLTD
VISHWARAJ
VIVIDHA
XCHANGING
YATRA
YESBANK
ZEEMEDIA
